aoi,year,month,month_slot,system_index,acquisition_date,cloudy_pct_scene,source,no_usable_scene,notes
king_salman_park,2026,2,2026-02,20260213T074301_20260213T074302_T38RPN,2026-02-13,0.000000,cal_lock_sq1c,False,locked from sq1c_manifest among 2 cand
king_salman_park,2026,3,2026-03,20260325T072609_20260325T073824_T38RPN,2026-03-25,0.000000,gee_pick,False,deterministic-pick across 13 candidates
king_salman_park,2026,4,2026-04,20260418T072321_20260418T072907_T38RPN,2026-04-18,5.369657,gee_pick,False,deterministic-pick across 10 candidates
qiddiya_core,2020,1,2020-01,20200131T073131_20200131T073131_T38RPN,2020-01-31,0.000000,cal_lock_sq1d,False,locked from sq1d_manifest among 1 cand
qiddiya_core,2020,2,2020-02,20200215T073009_20200215T073205_T38RPN,2020-02-15,0.000000,gee_pick,False,deterministic-pick across 5 candidates
qiddiya_core,2020,3,2020-03,20200301T072821_20200301T073633_T38RPN,2020-03-01,0.000000,gee_pick,False,deterministic-pick across 7 candidates
qiddiya_core,2020,4,2020-04,20200425T072609_20200425T073431_T38RPN,2020-04-25,0.023000,gee_pick,False,deterministic-pick across 6 candidates
qiddiya_core,2020,5,2020-05,20200530T072621_20200530T073207_T38RPN,2020-05-30,0.188300,gee_pick,False,deterministic-pick across 6 candidates
qiddiya_core,2020,6,2020-06,20200604T072619_20200604T073435_T38RPN,2020-06-04,0.177100,gee_pick,False,deterministic-pick across 6 candidates
qiddiya_core,2020,7,2020-07,20200704T072619_20200704T073413_T38RPN,2020-07-04,0.206300,cal_lock_sq1d,False,locked from sq1d_manifest among 1 cand
qiddiya_core,2020,8,2020-08,20200803T072619_20200803T073526_T38RPN,2020-08-03,0.175500,gee_pick,False,deterministic-pick across 6 candidates
qiddiya_core,2020,9,2020-09,20200912T072619_20200912T073659_T38RPN,2020-09-12,0.000000,gee_pick,False,deterministic-pick across 6 candidates
qiddiya_core,2020,10,2020-10,20201002T072729_20201002T073150_T38RPN,2020-10-02,0.000000,gee_pick,False,deterministic-pick across 5 candidates
qiddiya_core,2020,11,2020-11,20201111T073139_20201111T073849_T38RPN,2020-11-11,0.022575,gee_pick,False,deterministic-pick across 6 candidates
qiddiya_core,2020,12,2020-12,20201211T073219_20201211T074003_T38RPN,2020-12-11,0.000000,gee_pick,False,deterministic-pick across 7 candidates
qiddiya_core,2021,1,2021-01,20210105T073311_20210105T073312_T38RPN,2021-01-05,0.000000,gee_pick,False,deterministic-pick across 6 candidates
qiddiya_core,2021,2,2021-02,20210214T073011_20210214T073144_T38RPN,2021-02-14,0.000000,gee_pick,False,deterministic-pick across 5 candidates
qiddiya_core,2021,3,2021-03,20210331T072619_20210331T073145_T38RPN,2021-03-31,0.000000,cal_lock_sq1d,False,locked from sq1d_manifest among 1 cand
qiddiya_core,2021,4,2021-04,20210420T072609_20210420T073142_T38RPN,2021-04-20,0.000000,gee_pick,False,deterministic-pick across 6 candidates
