date,l1c_product_id,cloud_pct,tropomi_n_images,uvai_mean,uvai_max
2023-03-11,20230311T072729_20230311T073151_T38RPN,3.90973155364448,14,0.3874368533822449,0.5337806940078375
2023-03-16,20230316T072641_20230316T073144_T38RPN,0,14,1.1712055331850308,1.24656236171714
2023-03-21,20230321T072619_20230321T073150_T38RPN,0,14,1.4312540154969515,1.4790271520621836
2023-04-30,20230430T072619_20230430T073149_T38RPN,0,15,1.6499396562576056,1.6499396562584339
2023-05-05,20230505T072621_20230505T073147_T38RPN,0,15,1.616594982512135,1.6183621883400225
2023-05-10,20230510T072619_20230510T073150_T38RPN,0.820657529337992,14,1.3077962598437476,1.3931344747547345
2023-06-04,20230604T072621_20230604T073150_T38RPN,0.768132819731852,14,1.6276230933629905,1.6940686702736532
2023-06-09,20230609T072619_20230609T073151_T38RPN,0.0116157544268267,14,1.5748860131991762,1.6024638414390748
2023-06-14,20230614T072621_20230614T073151_T38RPN,3.05413717937233,14,1.9170020144855944,2.000595092774413
2023-06-19,20230619T072619_20230619T073151_T38RPN,0.037922900056735,14,2.143836711699232,2.1827721595774805
2023-06-29,20230629T072619_20230629T073556_T38RPN,0.10355639165099,14,2.1207856622938595,2.202285051346899
2023-07-04,20230704T072621_20230704T073148_T38RPN,0.0942697602197737,14,1.7557505714555748,1.8402712345128587
2023-07-09,20230709T072619_20230709T073152_T38RPN,0.0813401415390128,14,1.720048632155916,1.7656183242802932
2023-07-19,20230719T072619_20230719T073152_T38RPN,0.0252321657857804,15,1.3734634117519744,1.386639714241704
2023-07-29,20230729T072619_20230729T073152_T38RPN,0.112245812057691,15,0.9659246066603635,1.0198186039927557
2023-08-03,20230803T072621_20230803T073152_T38RPN,0.105766072441697,14,1.2579566617820066,1.2987363338474198
2023-08-08,20230808T072619_20230808T074230_T38RPN,0.2252082773448,14,1.0629433552130523,1.3030869960788662
2023-08-13,20230813T072621_20230813T073503_T38RPN,0.0513900086595599,14,0.6297678407095939,0.7972967624666601
2023-08-18,20230818T072619_20230818T073626_T38RPN,0.0470602287318224,14,1.1364372236081834,1.2964364290243748
2023-08-23,20230823T072621_20230823T073913_T38RPN,0.109170175281436,14,1.2602165187991474,1.3071258068088478
2023-08-28,20230828T072619_20230828T073209_T38RPN,0.106124399056407,14,1.2587982861747053,1.2985475063330307
2023-09-02,20230902T072621_20230902T073908_T38RPN,0.42849891008988,14,1.4606871224267328,1.4798059463505235
2023-09-07,20230907T072619_20230907T073621_T38RPN,0.178386933022784,14,1.8116518993697706,1.9558558464052882
2023-09-12,20230912T072621_20230912T073904_T38RPN,0.0716951834930873,14,1.4850745385090465,1.59965717792589
2023-09-22,20230922T072621_20230922T073144_T38RPN,0.846128579533578,14,1.5304141210034343,1.6062104702003681
2023-09-27,20230927T072649_20230927T073147_T38RPN,0.117322105766072,14,1.2991234491375065,1.311800599098583
2023-10-02,20231002T072731_20231002T073145_T38RPN,0.127653856490191,14,1.2639213405801422,1.2902709245688053
2023-10-07,20231007T072759_20231007T073144_T38RPN,0.173191197109499,14,1.087651055161784,1.0954883098605448
2023-10-12,20231012T072831_20231012T073141_T38RPN,0.208516229209591,15,1.1052791910203144,1.1241369247442006
2023-10-17,20231017T072909_20231017T073146_T38RPN,0.139777240287856,15,0.9553079876138622,0.972996830940721
2023-10-22,20231022T072941_20231022T073144_T38RPN,0.174952969631819,15,0.9673532647036381,1.0140623812766008
2023-10-27,20231027T073009_20231027T073145_T38RPN,0.320164830242766,14,0.4729029613467259,0.6995230317117797
2023-11-21,20231121T073211_20231121T073213_T38RPN,1.55564513720923,14,0.345654398424546,0.3779170811178143
2023-12-01,20231201T073241_20231201T073244_T38RPN,0,14,0.972575994254566,1.0167959928517531
2023-12-16,20231216T073229_20231216T073226_T38RPN,0,14,1.0298460831333114,1.0408668518071482
2023-12-21,20231221T073321_20231221T073321_T38RPN,0,14,0.8598760881027622,0.8855647444729354
2023-12-26,20231226T073229_20231226T073231_T38RPN,0.0519872196840754,14,0.751669657595533,0.7670053243640825
2024-01-05,20240105T073219_20240105T073216_T38RPN,0.504792618471737,15,0.6310833380563471,0.7212251126768281
2024-01-20,20240120T073221_20240120T073222_T38RPN,4.20800859983875,14,0.309621815579368,0.4037204682828964
2024-02-09,20240209T073051_20240209T073143_T38RPN,0.15091522589507,14,0.9969004988308905,1.0758115053182125
2024-02-24,20240224T072909_20240224T073143_T38RPN,0.336379109558362,14,1.579262335463708,1.6415086984642404
2024-02-29,20240229T072841_20240229T073147_T38RPN,0.0206635014482367,14,1.3726133475889595,1.377295374870972
2024-03-10,20240310T072721_20240310T073146_T38RPN,0,14,2.204234518126536,2.206432342530373
2024-04-04,20240404T072609_20240404T073144_T38RPN,0,14,0.6627515497526371,0.7514860033991115
2024-04-14,20240414T072619_20240414T073147_T38RPN,0.187046492878259,14,0.8378899213377666,0.8847394797443874
2024-04-19,20240419T072621_20240419T073150_T38RPN,0,14,1.0760440880286644,1.1578115224843903
2024-04-24,20240424T072619_20240424T073145_T38RPN,0,14,1.7383120325594026,1.8065831661229563
2024-05-04,20240504T072619_20240504T073147_T38RPN,0,14,1.644718720549215,1.68750607967459
2024-05-09,20240509T072621_20240509T073149_T38RPN,0.00746513780644391,14,1.6918618191693664,1.7409089803694504
2024-05-14,20240514T072619_20240514T073959_T38RPN,4.36883752874078,14,1.6815185778166992,1.732856988907359
2024-05-19,20240519T072621_20240519T073503_T38RPN,0,14,1.9809686844905006,2.0672359466558685
2024-05-24,20240524T072619_20240524T073750_T38RPN,0.00773388276747589,14,1.8290155339990928,1.8729802370080544
2024-05-29,20240529T072731_20240529T073929_T38RPN,0.00791304607483054,14,1.4793826888699464,1.5194634199146828
2024-06-03,20240603T072619_20240603T073148_T38RPN,0.0378930395055093,15,1.606293940670359,1.6107593774803386
