id,date,cloud_cover,tile_id,geometry_type,geometry_coords_count
S2B_MSIL2A_20210107T072259_N0500_R006_T38RPN_20230406T074052.SAFE,2021-01-07T07:32:57.974Z,46.94,,,0
S2B_MSIL2A_20210110T073159_N0500_R049_T38RPN_20230610T020603.SAFE,2021-01-10T07:42:53.749Z,0.32,,,0
S2A_MSIL2A_20210112T072251_N0500_R006_T38RPN_20230612T230713.SAFE,2021-01-12T07:32:59.686Z,0.24,,,0
S2A_MSIL2A_20210115T073241_N0500_R049_T38RPN_20230527T141532.SAFE,2021-01-15T07:42:55.224Z,67.13,,,0
S2B_MSIL2A_20210117T072229_N0500_R006_T38RPN_20230608T175653.SAFE,2021-01-17T07:32:58.677Z,0.04,,,0
S2B_MSIL2A_20210120T073129_N0500_R049_T38RPN_20230527T134606.SAFE,2021-01-20T07:42:54.229Z,0.41,,,0
S2A_MSIL2A_20210122T072211_N0500_R006_T38RPN_20230611T195830.SAFE,2021-01-22T07:32:59.557Z,0.24,,,0
S2A_MSIL2A_20210125T073201_N0500_R049_T38RPN_20230528T024029.SAFE,2021-01-25T07:42:54.928Z,0.0,,,0
S2B_MSIL2A_20210127T072149_N0500_R006_T38RPN_20230531T120934.SAFE,2021-01-27T07:32:58.73Z,0.06,,,0
S2B_MSIL2A_20210130T073049_N0500_R049_T38RPN_20230526T174419.SAFE,2021-01-30T07:42:54.108Z,0.76,,,0
S2A_MSIL2A_20210201T072131_N0500_R006_T38RPN_20230524T045505.SAFE,2021-02-01T07:32:58.819Z,20.01,,,0
S2A_MSIL2A_20210204T073111_N0500_R049_T38RPN_20230605T101804.SAFE,2021-02-04T07:42:53.984Z,0.0,,,0
S2B_MSIL2A_20210206T072059_N0500_R006_T38RPN_20230605T081420.SAFE,2021-02-06T07:32:58.084Z,0.59,,,0
S2B_MSIL2A_20210209T073009_N0500_R049_T38RPN_20230613T005927.SAFE,2021-02-09T07:42:53.265Z,0.04,,,0
S2A_MSIL2A_20210211T072021_N0500_R006_T38RPN_20230607T004215.SAFE,2021-02-11T07:32:57.455Z,0.09,,,0
S2A_MSIL2A_20210214T073011_N0500_R049_T38RPN_20230605T112343.SAFE,2021-02-14T07:42:53.251Z,0.0,,,0
S2B_MSIL2A_20210216T071959_N0500_R006_T38RPN_20230606T185609.SAFE,2021-02-16T07:32:56.841Z,0.06,,,0
S2B_MSIL2A_20210219T072939_N0500_R049_T38RPN_20230520T081514.SAFE,2021-02-19T07:42:52.049Z,79.74,,,0
S2A_MSIL2A_20210221T071921_N0500_R006_T38RPN_20230617T153604.SAFE,2021-02-21T07:32:58.395Z,99.63,,,0
S2A_MSIL2A_20210224T072901_N0500_R049_T38RPN_20230604T010126.SAFE,2021-02-24T07:42:54.073Z,81.57,,,0
S2B_MSIL2A_20210226T071849_N0500_R006_T38RPN_20230602T122139.SAFE,2021-02-26T07:32:57.485Z,0.01,,,0
S2B_MSIL2A_20210301T072829_N0500_R049_T38RPN_20230607T091539.SAFE,2021-03-01T07:42:53.237Z,17.87,,,0
S2A_MSIL2A_20210303T071811_N0500_R006_T38RPN_20230523T125810.SAFE,2021-03-03T07:32:58.762Z,55.82,,,0
S2A_MSIL2A_20210306T072751_N0500_R049_T38RPN_20230517T211358.SAFE,2021-03-06T07:42:54.208Z,2.89,,,0
S2B_MSIL2A_20210308T071739_N0500_R006_T38RPN_20230529T145319.SAFE,2021-03-08T07:32:58.143Z,0.0,,,0
S2B_MSIL2A_20210311T072719_N0500_R049_T38RPN_20230626T032843.SAFE,2021-03-11T07:42:53.72Z,0.0,,,0
S2A_MSIL2A_20210313T071701_N0500_R006_T38RPN_20230523T123204.SAFE,2021-03-13T07:32:58.46Z,15.55,,,0
S2A_MSIL2A_20210316T072641_N0500_R049_T38RPN_20230517T230716.SAFE,2021-03-16T07:42:53.728Z,42.09,,,0
S2B_MSIL2A_20210318T071619_N0500_R006_T38RPN_20230520T055300.SAFE,2021-03-18T07:32:58.176Z,0.04,,,0
S2B_MSIL2A_20210321T072619_N0500_R049_T38RPN_20230521T111516.SAFE,2021-03-21T07:42:53.519Z,0.0,,,0
S2A_MSIL2A_20210323T071621_N0500_R006_T38RPN_20230604T033843.SAFE,2021-03-23T07:32:57.499Z,0.33,,,0
S2A_MSIL2A_20210326T072611_N0500_R049_T38RPN_20230604T103801.SAFE,2021-03-26T07:42:52.559Z,0.0,,,0
