date,roi_name,mean_ndvi,median_ndvi,valid_pixel_count,ndvi_climatology,ndvi_anomaly
2023-05-15,central_urban,0.084379,0.069830,84057,0.079651,0.004728
2023-06-15,wadi_hanifa,0.091002,0.067191,299330,0.094973,-0.003971
2023-06-15,king_salman_park,0.063736,0.062626,94335,0.066923,-0.003187
2023-06-15,northern_expansion,0.067791,0.057595,141932,0.073036,-0.005245
2023-06-15,central_urban,0.074103,0.063028,84057,0.079200,-0.005097
2023-07-15,wadi_hanifa,0.089136,0.065484,299330,0.085732,0.003405
2023-07-15,king_salman_park,0.062860,0.061511,94335,0.059921,0.002939
2023-07-15,northern_expansion,0.067748,0.057732,141932,0.065528,0.002220
2023-07-15,central_urban,0.073464,0.062676,84057,0.097055,-0.023591
2023-08-15,wadi_hanifa,0.082779,0.066443,299330,0.082803,-0.000024
2023-08-15,king_salman_park,0.060285,0.061103,94335,0.055552,0.004733
2023-08-15,northern_expansion,0.063715,0.057979,141932,0.061313,0.002402
2023-08-15,central_urban,0.068139,0.060930,84057,0.067635,0.000504
2023-09-15,wadi_hanifa,0.089855,0.066100,299330,0.087138,0.002717
2023-09-15,king_salman_park,0.063232,0.061909,94335,0.059884,0.003348
2023-09-15,northern_expansion,0.066262,0.056538,141932,0.065290,0.000972
2023-09-15,central_urban,0.072985,0.063273,84057,0.070272,0.002713
2023-10-15,wadi_hanifa,0.087080,0.065977,299330,0.091623,-0.004543
2023-10-15,king_salman_park,0.060225,0.061176,94335,0.061016,-0.000791
2023-10-15,northern_expansion,0.065169,0.057320,141932,0.068363,-0.003194
2023-10-15,central_urban,0.070805,0.062610,84057,0.075832,-0.005027
2023-11-15,wadi_hanifa,,,0,,
2023-11-15,king_salman_park,,,0,,
2023-11-15,northern_expansion,,,0,,
2023-11-15,central_urban,,,0,,
2023-12-15,wadi_hanifa,0.089524,0.066942,299330,0.096465,-0.006941
2023-12-15,king_salman_park,0.058339,0.059392,94335,0.063434,-0.005095
2023-12-15,northern_expansion,0.064686,0.057373,141932,0.070483,-0.005797
2023-12-15,central_urban,0.070425,0.064902,84057,0.076334,-0.005909
2024-01-15,wadi_hanifa,,,0,,
2024-01-15,king_salman_park,,,0,,
2024-01-15,northern_expansion,,,0,,
2024-01-15,central_urban,,,0,,
2024-02-15,wadi_hanifa,0.106580,0.080213,299316,0.100098,0.006482
2024-02-15,king_salman_park,0.076728,0.074317,94334,0.069971,0.006757
2024-02-15,northern_expansion,0.082609,0.072161,141931,0.074409,0.008200
2024-02-15,central_urban,0.084724,0.077076,84057,0.078746,0.005978
2024-03-15,wadi_hanifa,0.098522,0.073831,299330,0.096022,0.002500
2024-03-15,king_salman_park,0.070557,0.066475,94335,0.065687,0.004870
2024-03-15,northern_expansion,0.075424,0.065158,141932,0.071361,0.004063
2024-03-15,central_urban,0.081733,0.071402,84057,0.076952,0.004781
2024-04-15,wadi_hanifa,0.100754,0.076714,299330,0.095035,0.005719
2024-04-15,king_salman_park,0.075463,0.075341,94335,0.067030,0.008433
2024-04-15,northern_expansion,0.077780,0.068872,141932,0.071863,0.005917
2024-04-15,central_urban,0.080443,0.072268,84057,0.077540,0.002903
2024-05-15,wadi_hanifa,0.103976,0.065681,299323,0.094373,0.009602
2024-05-15,king_salman_park,0.069491,0.062021,94329,0.065532,0.003959
2024-05-15,northern_expansion,0.076410,0.058471,141930,0.071942,0.004468
2024-05-15,central_urban,0.084871,0.067705,84055,0.079651,0.005220
2024-06-15,wadi_hanifa,0.096998,0.065366,299330,0.094973,0.002025
2024-06-15,king_salman_park,0.067414,0.061829,94334,0.066923,0.000491
2024-06-15,northern_expansion,0.074259,0.058941,141932,0.073036,0.001223
