aoi,date,hls_system_index,hls_ndvi,n_valid_pixels,n_total_pixels,qa_flag
qiddiya_core,2023-03-16,T01VCK_20230316T232639+T01WCQ_20230315T235619+T01WCR_20230315T235619+T01WCS_20230315T235619+T01WCT_20230315T235619+T01WCT_20230317T001611+T01WCU_20230315T235619+T01WCV_20230315T002609+T38RPN_20230316T072641+T60VXQ_20230316T232639+T60WWE_20230315T002609,0.107823,18345,20500,multi_scene_mosaicked(n=11)
qiddiya_core,2023-04-30,T01FBF_20230501T214911+T01LAK_20230501T222759+T01UBT_20230429T230529+T01VCK_20230430T232631+T01VCL_20230501T234629+T01WCM_20230501T234629+T01WCN_20230501T234629+T01WCQ_20230429T235611+T01WCQ_20230501T234629+T01WCR_20230429T235611+T01WCR_20230501T234629+T01WCT_20230429T235611+T01WCT_20230501T001609+T01WCU_20230429T235611+T01WCU_20230501T001609+T38RPN_20230430T072619+T60UXB_20230429T230529+T60UXC_20230429T230529+T60VXQ_20230430T232631+T60VXR_20230501T234629,0.103641,20336,20500,multi_scene_mosaicked(n=20)
qiddiya_core,2023-05-05,T01FBF_20230506T214909+T01LAK_20230506T222801+T01UBT_20230504T230531+T01VCK_20230505T232639+T01VCL_20230506T234621+T01WCP_20230506T234621+T01WCQ_20230504T235619+T01WCQ_20230506T234621+T01WCR_20230504T235619+T01WCR_20230506T234621+T01WCS_20230504T235619+T01WCT_20230504T235619+T01WCT_20230506T001611+T01WCU_20230504T235619+T38RPN_20230505T072621+T60UXC_20230504T230531+T60VXQ_20230505T232639+T60VXR_20230506T234621,0.106391,17082,20500,multi_scene_mosaicked(n=18)
qiddiya_core,2023-10-02,T01FBF_20231003T214909+T01VCK_20231002T232629+T01WCM_20231003T234621+T01WCN_20231003T234621+T01WCP_20231001T235619+T01WCQ_20231001T235619+T01WCQ_20231003T234621+T01WCR_20231001T235619+T01WCR_20231003T234621+T01WCT_20231001T235619+T01WCT_20231003T001611+T01WCU_20231001T235619+T01WCU_20231003T001611+T01WCV_20231001T002609+T01WCV_20231003T001611+T38RPN_20231002T072731+T60VXQ_20231002T232629+T60WWE_20231001T002609+T60WWE_20231003T001611,0.089508,15797,20500,multi_scene_mosaicked(n=19)
qiddiya_core,2023-11-21,T01LAK_20231122T222751+T01UBT_20231120T230841+T38RPN_20231121T073211+T60UXC_20231120T230841,0.091726,20115,20500,multi_scene_mosaicked(n=4)
qiddiya_core,2024-01-05,T01FBF_20240106T214901+T01LAK_20240106T222759+T01UBT_20240104T230939+T38RPN_20240105T073219+T60UXC_20240104T230939,0.085506,19699,20500,multi_scene_mosaicked(n=5)
qiddiya_core,2024-02-29,T01FBF_20240301T214909+T01LAK_20240301T222801+T01VCK_20240229T232629+T01WCR_20240228T235609+T01WCR_20240301T234621+T38RPN_20240229T072841+T60VXQ_20240229T232629,0.088506,15977,20500,multi_scene_mosaicked(n=7)
qiddiya_core,2024-12-15,T01FBF_20241216T214909+T01LAK_20241216T222801+T38RPN_20241215T073321,0.079748,16623,20500,multi_scene_mosaicked(n=3)
qiddiya_core,2025-01-19,T01LAK_20250120T222759+T01UBT_20250118T230809+T38RPN_20250119T073129+T60UXB_20250118T230809+T60UXC_20250118T230809,0.084495,16207,20500,multi_scene_mosaicked(n=5)
qiddiya_core,2025-02-08,T01LAK_20250209T222759+T38RPN_20250208T072959+T60UXC_20250207T230629,0.082427,16220,20500,multi_scene_mosaicked(n=3)
qiddiya_core,2025-11-25,T38RPN_20251125T073139,0.075499,12282,18662,ok
qiddiya_core,2025-12-30,T38RPN_20251230T073331,0.086652,12345,18662,ok
diriyah_gate,2021-05-05,T38RPN_20210505T072611,0.150083,8062,8250,ok
diriyah_gate,2021-06-14,T38RPN_20210614T072621,0.142105,8062,8250,ok
diriyah_gate,2022-03-16,T38RPN_20220316T072639,0.136496,8062,8250,ok
diriyah_gate,2022-04-10,T38RPN_20220410T072621,0.126746,8062,8250,ok
diriyah_gate,2022-05-10,T38RPN_20220510T072621,0.116605,7963,8250,ok
diriyah_gate,2022-07-04,T01LAK_20220705T222759+T01VCL_20220705T234629+T01WCM_20220705T234629+T01WCP_20220703T235631+T01WCP_20220705T234629+T01WCQ_20220703T235631+T01WCQ_20220705T234629+T01WCR_20220703T235631+T01WCR_20220705T234629+T01WCS_20220703T235631+T01WCT_20220703T235631+T01WCT_20220705T001619+T01WCU_20220703T235631+T01WCU_20220705T001619+T01WCV_20220703T002621+T38RPN_20220704T072619+T60VXR_20220705T234629,0.143532,7815,9108,multi_scene_mosaicked(n=17)
diriyah_gate,2022-08-18,T01LAK_20220819T222811+T01VCK_20220818T232639+T01VCL_20220819T234641+T01WCM_20220819T234641+T01WCN_20220819T234641+T01WCP_20220817T235619+T01WCP_20220819T234641+T01WCQ_20220817T235619+T01WCQ_20220819T234641+T01WCR_20220817T235619+T01WCR_20220819T234641+T01WCS_20220817T235619+T01WCT_20220817T235619+T01WCT_20220819T001621+T01WCU_20220817T235619+T01WCU_20220819T001621+T01WCV_20220817T002609+T38RPN_20220818T072631+T60VXQ_20220818T232639+T60VXR_20220819T234641+T60WWE_20220817T002609,0.141646,8922,9108,multi_scene_mosaicked(n=21)
diriyah_gate,2025-04-24,T01FBF_20250425T214909+T01VCK_20250424T232629+T01WCN_20250425T234641+T01WCQ_20250423T235619+T01WCQ_20250425T234641+T01WCR_20250423T235619+T01WCR_20250425T234641+T01WCS_20250423T235619+T01WCT_20250423T235619+T01WCU_20250423T235619+T01WCU_20250425T001631+T01WCV_20250423T002609+T01WCV_20250425T001631+T38RPN_20250424T072641+T60VXQ_20250424T232629+T60WWE_20250425T001631,0.142667,8514,9108,multi_scene_mosaicked(n=16)
diriyah_gate,2025-05-09,T01FBF_20250510T214931+T01LAK_20250510T222759+T01UBT_20250508T230529+T01VCK_20250509T232651+T01WCM_20250510T234619+T01WCN_20250510T234619+T01WCQ_20250510T234619+T01WCR_20250508T235631+T01WCR_20250510T234619+T01WCS_20250508T235631+T01WCT_20250510T001609+T01WCU_20250510T001609+T38RPN_20250509T072619+T60UXC_20250508T230529+T60VXQ_20250509T232651+T60WWE_20250508T002631+T60WWE_20250510T001609,0.139093,5337,9108,multi_scene_mosaicked(n=17)
diriyah_gate,2025-06-05,T38RPN_20250605T073031,0.137532,7101,8250,ok
diriyah_gate,2025-07-03,T38RPN_20250703T072641,0.144133,3815,8250,ok
diriyah_gate,2025-08-04,T38RPN_20250804T073031,0.137682,6519,8250,ok
diriyah_gate,2026-03-25,T38RPN_20260325T072609,0.147712,7691,8250,ok
diriyah_gate,2026-04-14,T38RPN_20260414T072609,0.176684,722,8250,ok
